country,continent,wind_direction,wind_mph,wind_kph,humidity,cloud,precip_mm,precip_in,pressure_mb,pressure_in,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph
Micronesia,Pacific,S,4.3,6.8,84,100,0,0,1011,29.84,24,14,6,8.9,14.4
Micronesia,Pacific,SE,3.8,6.1,79,100,5.7,0.22,1011,29.84,21,13,6,13,20.9
Micronesia,Pacific,SW,8.1,13,84,100,0.4,0.02,1011,29.86,24,14,6,9.6,15.5
Micronesia,Pacific,W,6.9,11.2,89,100,0.1,0,1009,29.8,24,14,6,23.7,38.2
Monaco,Europe,N,13.6,22,68,75,0.2,0.01,1003,29.62,10,6,1,4,6.5
Monaco,Europe,NW,6.9,11.2,69,0,0,0,1020,30.12,10,6,1,4.7,7.6
Monaco,Europe,S,12.5,20.2,73,50,0,0,1002,29.59,10,6,6,13.9,22.3
Mongolia,Asia,E,11.9,19.1,81,0,0,0,1012,29.88,10,6,1,6.7,10.8
Mongolia,Asia,N,2.2,3.6,80,16.66666667,0.066666667,0.003333333,1016,30,10,6,5.333333333,9.933333333,15.93333333
Mongolia,Asia,NW,2.2,3.6,93,25,0,0,1015,29.97,10,6,6,11.2,18
Mongolia,Asia,S,2.2,3.6,87,25,0,0,1019,30.09,10,6,7,12.1,19.4
Mongolia,Asia,W,10.25,16.6,63,50,0,0,1012,29.885,10,6,3.5,8.15,13.15
Montenegro,Europe,N,11.68571429,18.82857143,47.42857143,0,0,0,1015.571429,29.98714286,10,6,1,18.08571429,29.15714286
Montenegro,Europe,NE,8.1,13,94,100,2.4,0.09,1007,29.74,10,6,1,2.5,4
Montenegro,Europe,S,2.2,3.6,65,50,0.3,0.01,1006,29.71,10,6,5,8.9,14.4
Morocco,Africa,N,2.2,3.6,95.71428571,32.14285714,0,0,1014.714286,29.96142857,5,3,1,5.314285714,8.557142857
Morocco,Africa,SE,3.8,6.1,78,50,0.4,0.02,1009,29.8,5,3,1,9.8,15.8
Morocco,Africa,SW,5.6,9,100,50,0,0,1012,29.88,5,3,1,10.5,16.9
Morocco,Africa,W,7.5,12.1,80.5,37.5,0,0,1014.5,29.955,5,3,3.5,11.3,18.2
Mozambique,Africa,N,6.9,11.2,77,0,0,0,1015,29.96,10,6,1,12.5,20.2
Mozambique,Africa,NE,9.4,15.1,88,75,0,0,1019,30.09,10,6,1,10.5,16.9
Mozambique,Africa,S,16.1,25.9,78,75,0,0,1016,30,10,6,1,24.8,40
Mozambique,Africa,SE,10.5,16.9,64,75,0.1,0,1033,30.5,10,6,5,6.3,10.1
Mozambique,Africa,SW,5.4,8.633333333,92,50,0.033333333,0,1021,30.15,10,6,1,6.266666667,10.06666667
Myanmar,Asia,SE,2.2,3.6,95,80,0,0,1003,29.61,2,1,6,2,3.2
Myanmar,Asia,SW,4.975,8,93.75,68.25,0.275,0.01,1006.75,29.73,10,6,3.5,8.125,13.05
Myanmar,Asia,W,10.3,16.6,68,62,0,0,1002,29.58,10,6,8,13.6,22
Namibia,Africa,E,4.825,7.725,35.75,0,0,0,1024.25,30.2475,10,6,1,10.35,16.65
Nepal,Asia,E,2.2,3.6,94,75,0,0,1015,29.97,7,4,1,3.4,5.4
Nepal,Asia,N,2.2,3.6,91.25,68.75,0.1,0.0025,1013.75,29.9325,7,3.75,4,2.575,4.125
Nepal,Asia,NE,4.3,6.8,88,75,0,0,1012,29.88,7,4,5,4.9,7.9
Nepal,Asia,SE,2.2,3.6,94,75,0.5,0.02,1014,29.94,7,4,4,2.5,4
Nepal,Asia,SW,3.8,6.1,94,50,0,0,1013,29.91,7,4,5,2.9,4.7
Netherlands,Europe,E,4.88,7.84,88.4,10,0,0,1018.4,30.072,9,5.4,1,9.84,15.82
Netherlands,Europe,NW,2.2,3.6,100,0,0,0,1016,30,4,2,1,5.6,9
Netherlands,Europe,S,8.1,13,82,25,0,0,1006,29.71,10,6,1,14.8,23.8
New Zealand,Pacific,N,17.23333333,27.8,72.33333333,37.5,0.033333333,0,1026.666667,30.31666667,10,6,3.666666667,21.31666667,34.33333333
New Zealand,Pacific,S,6.9,11.2,67,0,0,0,1022,30.18,10,6,4,4,6.5
New Zealand,Pacific,SW,3.8,6.1,63,100,0.2,0.01,1025,30.27,10,6,3,2.7,4.3
Nicaragua,America,E,8.566666667,13.8,67.66666667,50,0.133333333,0.003333333,1008.333333,29.77333333,10,6,6.333333333,18.03333333,29.03333333
Nicaragua,America,N,2.9,4.666666667,88,41.66666667,0,0,1009.333333,29.79333333,10,6,3,8.333333333,13.43333333
Nicaragua,America,NE,9.4,15.1,70,50,0.1,0,1009,29.8,9,5,6,21,33.8
Niger,Africa,E,3.8,6.1,84,0,0.2,0.01,1014,29.94,10,6,1,11.4,18.4
Niger,Africa,S,5.95,9.55,81,0,0,0,1013.5,29.925,9,5,1,14.75,23.75
Nigeria,Africa,E,3.4,5.4,94,25,0.65,0.025,1016,30,10,6,1,3.05,4.9
